tweet,class
"Relegions are Viruses,They are making this country sick.",1
@mayasolovely:As a woman you shouldn't complain about cleaning up your house.,0
@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody...,1
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad
",0
"@rhythmixx_ :hobbies include: fighting Mariam"" bitch",1
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican
",0
"bitch who do you love """,1
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway htt...
",0
""" these hoes like niggas that spend money not talk bout it """,1
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black p...
",0
""" we dont trust these niggas all these bitches """,1
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT"" Lmfao
",0
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like ...
",0
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t....",1
"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes...
",0
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way t...",1
"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger
",0
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnn...",1
"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes
",0
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6gu...",1
"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no...
",0
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",1
"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!
",0
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",1
"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa
",0
"""@CASHandBOOBIES: I been kidnapped yo bitch""",1
"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin y...
",0
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",1
"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" -...
",0
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch ...",1
"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.
",0
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga...",1
"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a br...
",0
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; ...",1
"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped ...
",0
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you bett...",1
"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls t...
",0
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",1
"""These sour apple bitter bitches, I'm not fuckin wit em""
",1
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",1
"""We hate niggers, we hate faggots and we hate spics""-kkk rally
",0
"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one.""",1
"""We're out here, and we're queer!"" "" 2, 4, 6, hut! We like it in our butt!""
",0
"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in...",1
"""Who the fuck you callin jiggaboo, nigga?!""
",0
"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love...",1
"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags ...
",0
"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128...",1
"""You ain't gunna do shit spear chucker""
",0
"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",1
"""You ol trout mouth ass bitch"" DEEEEAAAADD
",0
"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",1
"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple ...
",0
"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",1
"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I...
",0
"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;""",1
"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race
",0
"""@SukMySweetness: money only impress the simple broke bitches""",1
"""poor whitey"" http://t.co/3UkKeyznz8
",0
"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" R...",1
"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in th...
",0
"""@TayKnosBest: These hoes is crazy""",1
"#California is full of white trash
",0
"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:",1
"#California is full of white trash who moved from #Oklahoma
",1
"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch.",1
"#DTLA is trash because of non-Europeans are allowed to live there.
",0
"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter...",1
"#Dutch farmers are white trash.
",0
"""@TheNewSAT: #NewSATQuestions Yeah bitch, yeah bitch, call me _______: a.) Maybe b.) Steve-O c.) Lat...",1
"#Dutch people who live outside of #NewYorkCity are all white trash.
",0
"""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",1
"#Iowa is full of white trash
",0
"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey a...",1
"#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;
",0
"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH",1
"#Minnesota is full of white trash
",0
"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot u...",1
"#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies
",0
"""@TheoMaxximus: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fo...",1
"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones"".....
",0
"""@Thornton25: &#8220;@KantKeepAhBYTCH: I love eating pussy lol I never get full lol&#8221; I can eat...",1
"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda al...
",0
"""@Tmacc_GFG: &#8220;@VoiceOfDStreetz: ""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;ho...",1
"#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?
",0
"""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;",1
"#SouthCarolina is full of white trash
",0
"""@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe be...",1
"#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes
",0
"""@TreLeKidd: Yo bitch is Gucci Mane RT @JabariTheGreat : My bitch a stoner &#128175;&#128175; http:/...",1
"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.
",0
"""@TweetGameLazy: I can ride your bitch with no handle bars""",1
"#TweetLikePontiacHolmes&#160; I do the Pontiac sprinkler... Nigga nigga nigga nigga spic spic spic ...
",0
"""@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee""",1
"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance""....
",0
"""@UnHoly_Jack: These harbor bitches are all ""Party Bus hoes"""" Lol all?",1
"#Virginia is full of white trash.
",0
